0,kormány,tányér,bika,zseni,hercegnő,rendőr,robot,szellem,hullám,csatorna,nyúl,gazda,sárkány,csomó,tüdő,száj,puska,szikra,vonal,kalóz
1,csiga,tábla,hideg,olaj,betegség,tiszta,hold,szakít,képernyő,virág,tánc,koporsó,nyúl,gumi,szék,ügyvéd,mező,gitár,kereszt,orvos
2,benzin,harang,színház,világos,kenyér,tánc,pálya,fekete,bank,cápa,levél,forma,csavar,hajó,kártya,háború,háló,narancs,homok,fedél
3,tányér,olaj,bánya,pont,ordít,tévé,rakéta,tudós,bíró,körte,palack,templom,kocka,benzin,kemény,harang,alma,teherautó,tánc,gyöngy
4,halál,motor,indián,oroszlán,hercegnő,tanár,pisztoly,csomó,csöpp,helikopter,hold,levél,méreg,sárkány,könnyű,háló,apró,kocka,szám,cipő
5,kórház,homok,csap,pisztoly,opera,robot,jogász,fedél,macska,nyom,haza,stadion,hajt,ügynök,bánya,ajtó,orvos,levegő,barát,csokoládé
6,betegség,pénz,egyenes,bánya,forrás,torta,bomba,királynő,csiga,csap,háló,anyag,fűszer,kesztyű,kalóz,mozi,katona,csavar,szék,tábla
7,szél,kölyök,szív,kutya,műhold,betegség,szín,egyenes,forma,vonal,milliomos,kalóz,tojás,üveg,gyökér,görög,tévé,oszt,figura,fedél
8,nehéz,szoknya,kormány,világos,kréta,árnyék,torony,virág,boszorkány,tolvaj,távolság,iskola,csatorna,levegő,egyenes,álom,oszlop,száj,kórház,papír
9,benzin,haza,nehéz,toll,idegen,követ,mozi,játék,tető,oroszlán,gitár,daru,part,szakít,sivatag,féreg,mező,opera,boszorkány,telefon
10,szem,gitár,gyémánt,sárkány,ordít,csavar,szél,orvos,part,meleg,mozi,medve,szakács,tévé,könnyű,árnyék,szív,kocka,zöld,törpe
11,tető,villa,színház,rózsa,oszt,fekete,pont,betegség,homok,idegen,benzin,csatorna,oroszlán,törpe,motor,hold,kutya,édes,bomba,csavar
12,macska,nyom,gazda,csavar,felhő,iskola,robot,pilóta,kard,szikra,könnyű,bika,villa,nyit,fedél,körte,csokoládé,haza,volt,ügynök
13,óriás,atom,nővér,helikopter,haza,koporsó,csempész,szén,tábla,levél,cápa,természet,nyom,daru,koncert,szikra,oszlop,pálya,föld,térkép
14,hullám,figura,kölyök,szám,pálya,keret,pilóta,tanár,tiszta,sárkány,nyit,kaszinó,bíró,meleg,tánc,barát,rózsa,lyuk,puska,élet
