tabla_id;szo_0;szam_0;szo_1;szam_1;szo_2;szam_2;szo_3;szam_3;szo_4;szam_4;szo_5;szam_5;szo_6;szam_6;szo_7;szam_7;szo_8;szam_8;szo_9;szam_9
0;információs;5;gyulladásos;2;kapocs;3;leszed;5;gyulladásos;2;kapocs;3;gyógynövényes;4;átvisz;2;borsos;3;üreges;5
1;megbeszél;7;téli;2;utasítás;3;megbeszél;7;téli;2;utasítás;3;eltörik;6;alkalmazó;2;rajzfilm;3;eltörik;6
2;aktivál;6;lakik;2;jeladó;3;aktivál;6;fosszilis;2;jeladó;3;díszít;5;nacionalista;2;borsos;3;díszít;5
3;szertartás;3;szentel;2;feláldoz;3;eltölt;6;szentel;2;tonnás;3;tonnás;5;újbóli;2;hajó;3;tonnás;5
4;csajos;4;meghalad;2;ajándékoz;3;csomagolás;6;házasságkötés;2;tűzhely;3;fullos;4;hallható;2;érzet;3;báty;4
5;felkér;5;pekingi;2;társelnök;3;bronzérem;6;pekingi;2;társelnök;3;hátrahagy;4;nemzeti;2;csatatér;3;lakodalom;3
6;kapus;3;tűzijáték;2;meghökkentő;3;szeglet;6;kapus;2;sarok;3;szárít;5;tripla;2;hagyományos;3;szárít;5
7;érrendszeri;5;keringési;2;panasz;3;érrendszeri;5;ereszt;2;keringési;3;támad;5;viszonoz;2;utolér;3;vert;4
8;győzelmi;4;érthető;2;felfogható;3;földszintes;5;vetett;2;íves;3;íves;5;sakk;2;épült;3;íves;5
9;megjósol;3;útmutatás;2;üzemmód;3;autós;5;megjósol;2;üzemmód;3;sátán;4;sakk;2;maszkos;3;sátán;4
10;környezet;6;megesik;2;meggyógyít;3;környezet;6;megesik;2;meggyógyít;3;díszített;4;hasznosítható;2;tartható;3;díszített;4
11;ifjúság;4;tengerparti;2;ömlik;3;kinyújt;6;tengerparti;2;keverék;3;ömlik;5;viszonoz;2;maradék;3;ömlik;5
12;tenyésztő;4;váró;2;visel;3;negyvenéves;6;felemel;2;tenyésztő;3;széna;5;viszonoz;2;csíkos;3;marok;5
13;egyesülés;7;radioaktív;2;picike;3;egyesülés;7;radioaktív;2;picike;3;eleven;5;adagol;2;lendít;3;eleven;5
14;mitikus;4;színpadi;2;formál;3;beüt;6;mitikus;2;ihlette;3;szórakozóhely;4;hali;2;sakk;3;keringő;4
15;spórol;5;emeletes;2;éltető;3;fejeződik;7;pálinkás;2;éltető;3;töltött;6;megakadályoz;2;megjön;3;felfújt;5
16;bead;4;tevékenykedik;2;gyakorló;3;önzetlen;6;bead;2;gyakorló;3;púpos;5;sakk;2;fáradhatatlan;3;púpos;5
17;legenda;4;elrabol;2;formájú;3;kerekasztal;4;elrabol;2;formájú;3;ezüst;4;fordulatos;2;fűszerez;3;arany;4
18;mínusz;4;építés;2;meleg;3;négyzet;6;fázik;2;meleg;3;folyosó;5;fűszerez;2;sajt;3;taposó;5
19;szakíró;3;visszaél;2;vészel;3;iratkozik;4;borongós;2;vészel;3;kegyetlen;4;festő;2;eltitkol;3;metsző;4
20;káros;5;dráma;2;bomlik;3;továbbított;7;gravitációs;2;bomlik;3;áramlik;4;hall;2;mozgás;3;áramlik;4
21;létesít;6;lenti;2;melletti;3;létesít;6;lenti;2;területű;3;bükki;4;összerak;2;épült;3;bükki;4
22;jubileum;3;jutalom;2;meggyógyít;3;évszám;4;nővér;2;jubileum;3;geometrikus;5;bocsánat;2;makacs;3;koponya;3
23;brit;5;tartományi;2;esztendős;3;brit;5;jeruzsálemi;2;esztendős;3;spanyol;5;élettelen;2;hajózó;3;kigyullad;5
24;oroszlán;4;kiált;2;tiltakozik;3;oroszlán;4;kiált;2;morog;3;mama;6;halad;2;körbevesz;3;oroszlán;4
25;köztársaság;5;kelta;2;mutató;3;közvetített;5;kelta;2;story;3;beleesik;5;hali;2;fáradhatatlan;3;ördög;4
26;tartás;4;meghúz;2;formájú;3;összead;6;meghúz;2;formájú;3;szaros;5;átvisz;2;adagol;3;feltaláló;3
27;dohányzó;4;leül;2;biztosított;3;dohány;5;leül;2;dohányzó;3;körbevesz;5;megakadályoz;2;félelmetes;3;rettegett;3
28;közlekedési;6;forgalmazás;2;megvásárlás;3;közlekedési;6;forgalmazás;2;pereg;3;lenyűgöz;4;fordulatos;2;szomorúság;3;műfordító;2
29;feszes;5;formás;2;gyárt;3;csípő;6;mogyorós;2;nyűgös;3;lyukas;6;hall;2;összerak;3;lyukas;6
30;beszed;4;varázslatos;2;babonás;3;megfelelő;6;varázslatos;2;babonás;3;vándor;4;halad;2;utolér;3;vándor;4
31;felhőkarcoló;4;fizikus;2;gratulál;3;kereset;6;mágneses;2;gratulál;3;félelmetes;4;nacionalista;2;másol;3;bolyong;4
32;tetőszerkezet;4;leégett;2;felgyújt;3;tetőszerkezet;4;leégett;2;felgyújt;3;szikla;6;átvisz;2;halk;3;banán;5
33;felkutat;4;kovácsol;2;elvág;3;ördög;6;kincses;2;elvág;3;bilincs;6;nacionalista;2;pocakos;3;ereszt;4
34;tiszti;5;dohányzó;2;ünnepelt;3;tiszti;5;ránt;2;ünnepelt;3;rakott;5;viszonoz;2;fűszerez;3;torok;4
35;valósul;5;nyomtatott;2;feltétlen;3;kiforrott;6;irtó;2;zsíros;3;emlékeztető;5;fűszerez;2;pici;3;nyomtat;3
36;elhárítás;4;ezred;2;repül;3;repül;5;ezred;2;elhárítás;3;gépágyú;5;halad;2;tömegű;3;gépágyú;5
37;szurkol;4;megszakad;2;fals;3;bezárt;4;megszakad;2;fals;3;bezárt;4;hali;2;elemes;3;bezárt;4
38;csupasz;5;táplálkozik;2;gerinces;3;nyugdíjazás;7;kétéltű;2;gerinces;3;szalad;5;átvisz;2;mozgás;3;állított;6
39;tábornok;5;keresztes;2;osztrák;3;csehszlovák;7;keresztes;2;osztrák;3;szabadít;5;ezer;2;adagol;3;kitüntet;4
40;megbízható;6;másol;2;meghatalmazott;3;megbízható;6;másol;2;virágos;3;kertész;4;hali;2;bejut;3;kertész;4
41;elrejtett;6;lelő;2;körözött;3;elrejtett;6;lelő;2;körözött;3;bevisz;5;nemzeti;2;hagyományos;3;terít;5
42;betűs;5;alom;2;citromos;3;latin;6;alom;2;bébi;3;jóízű;5;pocakos;2;pici;3;zamatos;3
43;katolikus;5;középkori;2;evangélikus;3;katolikus;5;egyhajós;2;evangélikus;3;apáca;6;festő;2;udvari;3;apáca;6
44;meghalad;4;feltámadás;2;megrendez;3;meghaladó;7;feltámadás;2;meghalad;3;gerenda;4;bonyolít;2;ezer;3;közlekedő;3
45;közlekedik;5;összekötő;2;részvételi;3;perspektíva;7;fagyos;2;forgalmas;3;közlekedik;5;hall;2;makacs;3;rideg;6
46;emészt;6;keletkező;2;parányi;3;emészt;6;keletkező;2;parányi;3;erősített;5;viszonoz;2;élettelen;3;heverő;5
47;aktivál;3;kiváltás;2;felmondás;3;körút;6;kiváltás;2;aktivál;3;mulat;4;sakk;2;hajó;3;marokkói;3
48;jégkorongozó;7;műfüves;2;versenyez;3;négyszeres;7;műfüves;2;versenyez;3;thai;6;bonyolít;2;stabil;3;thai;6
49;félsziget;5;vetődik;2;keleti;3;félsziget;5;vetődik;2;keleti;3;zöldes;5;halad;2;magasztal;3;keleti;3
50;veterán;4;születés;2;ártatlan;3;veterán;4;születés;2;ártatlan;3;csuk;4;átvisz;2;borsos;3;repülő;3
51;galaxis;5;megmond;2;hektár;3;galaxis;5;fényszóró;2;szürkés;3;átmérő;5;tömegű;2;vasútállomás;3;átmérő;5
52;birtokos;4;kikötő;2;jelkép;3;kérő;6;hajtogat;2;szériás;3;szimbólum;5;viszonoz;2;sakk;3;hattyú;5
53;felhatalmazás;5;köszöntő;2;tárca;3;miniszteri;7;születésnapi;2;tárca;3;bűnös;3;nacionalista;2;rockos;3;ütésálló;2
54;koszorú;3;temet;2;befed;3;cserepes;4;sivatagi;2;koszorú;3;pillant;6;halk;2;tömegű;3;borított;5
55;felkeres;5;tevékenykedik;2;elalszik;3;energiatakarékos;6;alvó;2;elalszik;3;csapódik;5;megakadályoz;2;feltűnés;3;kaliforniai;4
56;identitás;5;levet;2;népesség;3;végleges;6;szeri;2;osztályvezető;3;texasi;5;nemzeti;2;ordas;3;fejsze;5
57;kirándul;4;művészettörténész;2;sátán;3;lojális;5;művészettörténész;2;sátán;3;majom;4;halad;2;félelmetes;3;művészettörténész;2
58;szovjet;6;velejáró;2;értékrend;3;szovjet;6;állított;2;értékrend;3;ívelt;4;halad;2;árok;3;ívelt;4
59;felszabadul;3;fájdalmas;2;engedélyezett;3;várandós;5;felszabadul;2;engedélyezett;3;mell;4;táncol;2;makacs;3;mell;4
60;termeszt;6;szőlő;2;gabonaféle;3;termeszt;6;holdas;2;hektár;3;szel;5;fordulatos;2;makacs;3;szel;5
61;biztonságos;6;gyerekkori;2;azonosítás;3;biztonságos;6;gyerekkori;2;villog;3;megvesz;4;érvényesít;2;szabadidő;3;gyerekkori;2
62;koncert;7;diplomácia;2;készül;3;koncert;7;gyerekbarát;2;pusztul;3;elrejtett;5;tűzálló;2;tömegű;3;elrejtett;5
63;segélyhívó;5;kiállítási;2;kétdimenziós;3;osztályos;6;radioaktív;2;kétdimenziós;3;dekor;5;átvisz;2;jelzésű;3;dekor;5
64;hajtogat;5;zárható;2;süni;3;hajtogat;5;zárható;2;süni;3;csiga;6;halad;2;gomb;3;csiga;6
65;üzemelő;4;keserű;2;kerek;3;betér;6;keserű;2;mákos;3;mögötti;6;nemzeti;2;sajt;3;ragacsos;5
66;elszakad;6;derék;2;bead;3;elszakad;6;karátos;2;eltörik;3;ajánlatos;6;hali;2;összerak;3;eltör;5
